instance,run,agent,publications,consultations,shared_reads,best_fitness,best_time_seconds
cubic_1600.txt,6,ACO,20,40,40,1387.000000000,31.697999954
cubic_1600.txt,6,Tabu Search,6,80,79,1792.000000000,0.101999998
cubic_1600.txt,6,RVNS,5,80,79,1795.000000000,0.055999994
cubic_1600.txt,6,HHO,5,8,8,1406.000000000,19.911000013
cubic_1600.txt,7,ACO,21,40,40,1404.000000000,29.163000107
cubic_1600.txt,7,Tabu Search,6,80,79,1777.000000000,0.064000130
cubic_1600.txt,7,RVNS,4,80,79,1778.000000000,0.032000065
cubic_1600.txt,7,HHO,3,8,8,1415.000000000,15.733999968
cubic_1600.txt,8,ACO,25,40,40,1401.000000000,24.067999840
cubic_1600.txt,8,Tabu Search,6,80,79,1760.000000000,0.122999907
cubic_1600.txt,8,RVNS,6,80,79,1762.000000000,0.116999865
cubic_1600.txt,8,HHO,4,8,8,1415.000000000,35.665999889
cubic_1600.txt,9,ACO,18,39,39,1388.000000000,28.185999870
cubic_1600.txt,9,Tabu Search,6,80,79,1757.000000000,0.049000025
cubic_1600.txt,9,RVNS,5,80,79,1757.000000000,0.027999878
cubic_1600.txt,9,HHO,2,8,8,1415.000000000,24.890000105
cubic_1600.txt,10,ACO,20,40,40,1395.000000000,28.448000193
cubic_1600.txt,10,Tabu Search,8,80,79,1771.000000000,0.155000210
cubic_1600.txt,10,RVNS,8,80,79,1769.000000000,0.038000107
cubic_1600.txt,10,HHO,3,8,8,1424.000000000,11.205000162
cubic_1700.txt,1,ACO,24,41,41,1481.000000000,31.595000029
cubic_1700.txt,1,Tabu Search,5,80,79,1892.000000000,0.059999943
cubic_1700.txt,1,RVNS,8,80,79,1890.000000000,0.148000002
cubic_1700.txt,1,HHO,3,8,8,1493.000000000,3.911999941
cubic_1700.txt,2,ACO,19,42,42,1484.000000000,23.504000187
cubic_1700.txt,2,Tabu Search,6,80,79,1847.000000000,0.015000105
cubic_1700.txt,2,RVNS,8,80,79,1851.000000000,0.064000130
cubic_1700.txt,2,HHO,4,8,8,1495.000000000,27.019000053
cubic_1700.txt,3,ACO,18,42,42,1479.000000000,38.001999855
cubic_1700.txt,3,Tabu Search,5,80,79,1876.000000000,0.143999815
cubic_1700.txt,3,RVNS,5,80,79,1877.000000000,0.013999939
cubic_1700.txt,3,HHO,6,8,8,1495.000000000,4.166999817
cubic_1700.txt,4,ACO,14,42,42,1475.000000000,36.062999964
cubic_1700.txt,4,Tabu Search,3,80,79,1904.000000000,0.009999990
cubic_1700.txt,4,RVNS,3,80,79,1903.000000000,0.006999969
cubic_1700.txt,4,HHO,3,8,8,1483.000000000,37.164000034
cubic_1700.txt,5,ACO,25,41,41,1471.000000000,26.827999830
cubic_1700.txt,5,Tabu Search,5,80,79,1891.000000000,0.184000015
cubic_1700.txt,5,RVNS,5,80,79,1890.000000000,0.039999962
cubic_1700.txt,5,HHO,2,8,8,1507.000000000,37.001999855
cubic_1700.txt,6,ACO,23,42,42,1485.000000000,22.820999861
cubic_1700.txt,6,Tabu Search,7,80,79,1848.000000000,0.062999964
cubic_1700.txt,6,RVNS,5,80,79,1847.000000000,0.168999910
cubic_1700.txt,6,HHO,4,8,8,1500.000000000,12.402999878
cubic_1700.txt,7,ACO,21,41,41,1492.000000000,33.949000120
cubic_1700.txt,7,Tabu Search,5,80,79,1898.000000000,0.149000168
cubic_1700.txt,7,RVNS,6,80,79,1898.000000000,0.146000147
cubic_1700.txt,7,HHO,4,8,8,1499.000000000,36.597000122
cubic_1700.txt,8,ACO,25,41,41,1462.000000000,24.358999968
cubic_1700.txt,8,Tabu Search,5,80,79,1872.000000000,0.061999798
cubic_1700.txt,8,RVNS,5,80,79,1873.000000000,0.060999870
cubic_1700.txt,8,HHO,2,8,8,1492.000000000,31.144999981
cubic_1700.txt,9,ACO,22,41,41,1481.000000000,27.702000141
cubic_1700.txt,9,Tabu Search,6,80,79,1893.000000000,0.151000023
cubic_1700.txt,9,RVNS,7,80,79,1893.000000000,0.163000107
cubic_1700.txt,9,HHO,2,8,8,1498.000000000,36.577000141
cubic_1700.txt,10,ACO,19,42,42,1482.000000000,14.039000034
cubic_1700.txt,10,Tabu Search,7,80,79,1868.000000000,0.069000006
cubic_1700.txt,10,RVNS,6,80,79,1867.000000000,0.177999973
cubic_1700.txt,10,HHO,3,8,8,1501.000000000,17.546999931
cubic_1800.txt,1,ACO,23,43,43,1572.000000000,22.633999825
cubic_1800.txt,1,Tabu Search,5,80,79,1999.000000000,0.074999809
cubic_1800.txt,1,RVNS,9,80,79,1998.000000000,0.169999838
cubic_1800.txt,1,HHO,3,8,8,1585.000000000,17.422999859
cubic_1800.txt,2,ACO,19,44,44,1573.000000000,7.429000139
cubic_1800.txt,2,Tabu Search,5,80,79,1984.000000000,0.087000132
cubic_1800.txt,2,RVNS,7,80,79,1984.000000000,0.106000185
cubic_1800.txt,2,HHO,5,8,8,1574.000000000,28.578999996
cubic_1800.txt,3,ACO,20,43,43,1575.000000000,19.868000031
cubic_1800.txt,3,Tabu Search,6,80,79,1977.000000000,0.067999840
cubic_1800.txt,3,RVNS,5,80,79,1978.000000000,0.016999960
