instance,elapsed_seconds,mean_global_best,min_global_best,max_global_best,runs_with_value
cubic_2300.txt,44.51961996559999,2016.3,2001.0,2037.0,10
cubic_2300.txt,45.037289965199996,2016.3,2001.0,2037.0,10
cubic_2300.txt,45.5549599648,2016.3,2001.0,2037.0,10
cubic_2300.txt,46.0726299644,2016.3,2001.0,2037.0,10
cubic_2300.txt,46.590299963999996,2016.3,2001.0,2037.0,10
cubic_2300.txt,47.1079699636,2016.3,2001.0,2037.0,10
cubic_2300.txt,47.6256399632,2016.3,2001.0,2037.0,10
cubic_2300.txt,48.143309962800004,2016.3,2001.0,2037.0,10
cubic_2300.txt,48.6609799624,2016.3,2001.0,2037.0,10
cubic_2300.txt,49.178649962,2016.3,2001.0,2037.0,10
cubic_2300.txt,49.696319961600004,2015.9,2001.0,2037.0,10
cubic_2300.txt,50.21398996119999,2015.9,2001.0,2037.0,10
cubic_2300.txt,50.731659960799995,2015.9,2001.0,2037.0,10
cubic_2300.txt,51.2493299604,2014.3,2001.0,2026.0,10
cubic_2300.txt,51.76699996,2013.1,2001.0,2026.0,10
cubic_2400.txt,0.0,nan,nan,nan,0
cubic_2400.txt,0.51671999931,2645.3,2593.0,2686.0,10
cubic_2400.txt,1.03343999862,2645.3,2593.0,2686.0,10
cubic_2400.txt,1.5501599979299998,2601.3,2589.0,2644.0,10
cubic_2400.txt,2.06687999724,2595.5,2586.0,2607.0,10
cubic_2400.txt,2.5835999965500003,2585.8,2579.0,2592.0,10
cubic_2400.txt,3.1003199958599996,2585.8,2579.0,2592.0,10
cubic_2400.txt,3.61703999517,2573.3,2558.0,2581.0,10
cubic_2400.txt,4.13375999448,2572.6,2558.0,2581.0,10
cubic_2400.txt,4.65047999379,2565.8,2553.0,2580.0,10
cubic_2400.txt,5.1671999931000006,2479.9,2136.0,2571.0,10
cubic_2400.txt,5.68391999241,2232.4,2136.0,2569.0,10
cubic_2400.txt,6.200639991719999,2150.3,2136.0,2169.0,10
cubic_2400.txt,6.71735999103,2150.3,2136.0,2169.0,10
cubic_2400.txt,7.23407999034,2149.5,2136.0,2169.0,10
cubic_2400.txt,7.750799989650001,2149.5,2136.0,2169.0,10
cubic_2400.txt,8.26751998896,2149.5,2136.0,2169.0,10
cubic_2400.txt,8.78423998827,2149.5,2136.0,2169.0,10
cubic_2400.txt,9.30095998758,2149.0,2136.0,2169.0,10
cubic_2400.txt,9.81767998689,2149.0,2136.0,2169.0,10
cubic_2400.txt,10.334399986200001,2148.6,2135.0,2169.0,10
cubic_2400.txt,10.85111998551,2145.5,2134.0,2169.0,10
cubic_2400.txt,11.36783998482,2140.7,2118.0,2169.0,10
cubic_2400.txt,11.88455998413,2138.6,2118.0,2151.0,10
cubic_2400.txt,12.401279983439998,2136.8,2118.0,2149.0,10
cubic_2400.txt,12.91799998275,2136.8,2118.0,2149.0,10
cubic_2400.txt,13.43471998206,2135.8,2118.0,2149.0,10
cubic_2400.txt,13.951439981370001,2134.1,2118.0,2149.0,10
cubic_2400.txt,14.46815998068,2134.1,2118.0,2149.0,10
cubic_2400.txt,14.984879979990001,2134.1,2118.0,2149.0,10
cubic_2400.txt,15.501599979300002,2131.7,2118.0,2147.0,10
cubic_2400.txt,16.01831997861,2131.7,2118.0,2147.0,10
cubic_2400.txt,16.53503997792,2128.0,2111.0,2147.0,10
cubic_2400.txt,17.051759977230002,2128.0,2111.0,2147.0,10
cubic_2400.txt,17.56847997654,2125.4,2111.0,2139.0,10
cubic_2400.txt,18.08519997585,2124.9,2111.0,2139.0,10
cubic_2400.txt,18.60191997516,2124.9,2111.0,2139.0,10
cubic_2400.txt,19.11863997447,2124.1,2111.0,2139.0,10
cubic_2400.txt,19.63535997378,2124.1,2111.0,2139.0,10
cubic_2400.txt,20.15207997309,2122.1,2111.0,2133.0,10
cubic_2400.txt,20.668799972400002,2121.7,2107.0,2133.0,10
cubic_2400.txt,21.18551997171,2121.7,2107.0,2133.0,10
cubic_2400.txt,21.70223997102,2121.7,2107.0,2133.0,10
cubic_2400.txt,22.21895997033,2119.5,2107.0,2133.0,10
cubic_2400.txt,22.73567996964,2118.9,2107.0,2133.0,10
cubic_2400.txt,23.252399968949998,2117.7,2107.0,2132.0,10
cubic_2400.txt,23.76911996826,2117.7,2107.0,2132.0,10
cubic_2400.txt,24.28583996757,2117.7,2107.0,2132.0,10
